Ref,Val,Package,PosX,PosY,Rot,Side
"C239","22uF","C_0805_2012Metric",42.633900,18.707100,180.000000,top
"C240","22uF","C_0805_2012Metric",42.633900,16.548100,180.000000,top
"C241","0.1uF","C_0603_1608Metric",46.443900,19.977100,0.000000,top
"C242","10uF","C_1210_3225Metric",81.495900,42.075100,0.000000,top
"C243","10uF","C_1210_3225Metric",81.495900,38.773100,0.000000,top
"C244","1uF","C_0603_1608Metric",78.574900,52.108100,0.000000,top
"C248","10uF","C_1210_3225Metric",85.559900,55.791100,270.000000,top
"C250","100uF","C_1210_3225Metric",84.162900,60.617100,180.000000,top
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",3.136900,89.573100,270.000000,top
"D204","1N4148WSTR","D_SOD-323",56.400700,90.919300,180.000000,top
"D205","1N4148WSTR","D_SOD-323",56.400700,88.734900,180.000000,top
"D208","1N4148WSTR","D_SOD-323",81.749900,52.108100,0.000000,top
"D209","1N4148WSTR","D_SOD-323",81.749900,54.394100,180.000000,top
"J201","TSM-102-01-L-SV-P-TR","PinSocket_1x02_P2.54mm_Vertical_SMD_Pin1Right",74.891900,88.176100,0.000000,top
"L1","10uH","L_1210_3225Metric",35.966400,39.090600,315.000000,top
"L2","3.3uH","L_2141",56.476900,60.744100,270.000000,top
"L201","1.5uH","L_Bourns_SRN8040TA",62.788800,10.274300,180.000000,top
"L202","1.5uH","L_Bourns_SRN8040TA",47.205900,10.198100,180.000000,top
"L203","22uH","L_Vishay_IHLP-2525",75.272900,57.696100,270.000000,top
"Q11","MMDT2907AQ-7-F","SOT-363_SC-70-6",19.293000,51.219100,90.000000,top
"Q17","FJV992FMTF","SOT-23",60.223400,37.185600,90.000000,top
"Q202","BC847BM3T5G","SOT-723",7.350600,99.796600,90.000000,top
"Q205","MMBT4401-7-F","SOT-23",65.684400,72.682100,270.000000,top
"Q207","IRF7404","SOIC-8_3.9x4.9mm_P1.27mm",67.144900,77.254100,0.000000,top
